tweet
12-29-2017 10:00; PM2.5; No Data
12-29-2017 09:00; PM2.5; 109.0; 179; Unhealthy (at 24-hour exposure at this level)
12-29-2017 08:00; PM2.5; 147.0; 198; Unhealthy (at 24-hour exposure at this level)
12-29-2017 07:00; PM2.5; 174.0; 224; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 06:00; PM2.5; 164.0; 214; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 05:00; PM2.5; 170.0; 220; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 04:00; PM2.5; 166.0; 216; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 03:00; PM2.5; 172.0; 222; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 02:00; PM2.5; 167.0; 217; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 01:00; PM2.5; 155.0; 205; Very Unhealthy (at 24-hour exposure at this level)
12-29-2017 00:00; PM2.5; 155.0; 205; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 23:00; PM2.5; 158.0; 208; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 22:00; PM2.5; 158.0; 208; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 21:00; PM2.5; 155.0; 205; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 20:00; PM2.5; 155.0; 205; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 19:00; PM2.5; 153.0; 203; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 18:00; PM2.5; 158.0; 208; Very Unhealthy (at 24-hour exposure at this level)
12-28-2017 17:00; PM2.5; 147.0; 198; Unhealthy (at 24-hour exposure at this level)
12-28-2017 16:00; PM2.5; 134.0; 192; Unhealthy (at 24-hour exposure at this level)
12-28-2017 15:00; PM2.5; 130.0; 189; Unhealthy (at 24-hour exposure at this level)
12-28-2017 14:00; PM2.5; 130.0; 189; Unhealthy (at 24-hour exposure at this level)
12-28-2017 13:00; PM2.5; 109.0; 179; Unhealthy (at 24-hour exposure at this level)
12-28-2017 12:00; PM2.5; 88.0; 168; Unhealthy (at 24-hour exposure at this level)
12-28-2017 11:00; PM2.5; 86.0; 167; Unhealthy (at 24-hour exposure at this level)
12-28-2017 10:00; PM2.5; 86.0; 167; Unhealthy (at 24-hour exposure at this level)
12-28-2017 09:00; PM2.5; 84.0; 166; Unhealthy (at 24-hour exposure at this level)
12-28-2017 08:00; PM2.5; 64.0; 155; Unhealthy (at 24-hour exposure at this level)
12-28-2017 07:00; PM2.5; 56.0; 151; Unhealthy (at 24-hour exposure at this level)
12-28-2017 06:00; PM2.5; 61.0; 154; Unhealthy (at 24-hour exposure at this level)
12-28-2017 05:00; PM2.5; 59.0; 153; Unhealthy (at 24-hour exposure at this level)
12-28-2017 04:00; PM2.5; 74.0; 161; Unhealthy (at 24-hour exposure at this level)
12-28-2017 03:00; PM2.5; 101.0; 174; Unhealthy (at 24-hour exposure at this level)
12-28-2017 02:00; PM2.5; 113.0; 181; Unhealthy (at 24-hour exposure at this level)
12-28-2017 01:00; PM2.5; 107.0; 178; Unhealthy (at 24-hour exposure at this level)
12-28-2017 00:00; PM2.5; 111.0; 180; Unhealthy (at 24-hour exposure at this level)
12-27-2017 23:00; PM2.5; 114.0; 181; Unhealthy (at 24-hour exposure at this level)
12-27-2017 22:00; PM2.5; 113.0; 181; Unhealthy (at 24-hour exposure at this level)
12-27-2017 21:00; PM2.5; 109.0; 179; Unhealthy (at 24-hour exposure at this level)
12-27-2017 20:00; PM2.5; 97.0; 172; Unhealthy (at 24-hour exposure at this level)
12-27-2017 19:00; PM2.5; 74.0; 161; Unhealthy (at 24-hour exposure at this level)
12-27-2017 18:00; PM2.5; 74.0; 161; Unhealthy (at 24-hour exposure at this level)
12-27-2017 17:00; PM2.5; 73.0; 160; Unhealthy (at 24-hour exposure at this level)
12-27-2017 16:00; PM2.5; 78.0; 163; Unhealthy (at 24-hour exposure at this level)
12-27-2017 15:00; PM2.5; 87.0; 167; Unhealthy (at 24-hour exposure at this level)
12-27-2017 14:00; PM2.5; 89.0; 168; Unhealthy (at 24-hour exposure at this level)
12-27-2017 13:00; PM2.5; 90.0; 169; Unhealthy (at 24-hour exposure at this level)
12-27-2017 12:00; PM2.5; 88.0; 168; Unhealthy (at 24-hour exposure at this level)
12-27-2017 11:00; PM2.5; 73.0; 160; Unhealthy (at 24-hour exposure at this level)
12-27-2017 10:00; PM2.5; 65.0; 156; Unhealthy (at 24-hour exposure at this level)
12-27-2017 09:00; PM2.5; 56.0; 151; Unhealthy (at 24-hour exposure at this level)
12-27-2017 08:00; PM2.5; 49.0; 134; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-27-2017 07:00; PM2.5; 51.0; 139; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-27-2017 06:00; PM2.5; 53.0; 144; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-27-2017 05:00; PM2.5; 56.0; 151; Unhealthy (at 24-hour exposure at this level)
12-27-2017 04:00; PM2.5; 53.0; 144; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-27-2017 03:00; PM2.5; 58.0; 152; Unhealthy (at 24-hour exposure at this level)
12-27-2017 02:00; PM2.5; 48.0; 132; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-27-2017 01:00; PM2.5; 46.0; 127; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-27-2017 00:00; PM2.5; 49.0; 134; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-26-2017 23:00; PM2.5; 54.0; 147; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-26-2017 22:00; PM2.5; 45.0; 124; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-26-2017 21:00; PM2.5; 40.0; 112; Unhealthy for Sensitive Groups (at 24-hour exposure at this level)
12-26-2017 20:00; PM2.5; 35.0; 99; Moderate (at 24-hour exposure at this level)
12-26-2017 19:00; PM2.5; 33.0; 95; Moderate (at 24-hour exposure at this level)
12-26-2017 18:00; PM2.5; 27.0; 82; Moderate (at 24-hour exposure at this level)
12-26-2017 17:00; PM2.5; 27.0; 82; Moderate (at 24-hour exposure at this level)
